_id,_labels,description,feature,name,_start,_end,_type,name
29,:Content,"1 实例变量和类变量的声明
在声明成员变量时，用关键字static给予修饰的称作类变量，否则称作实例变量（类变量也称为static变量，静态变量）。
2  实例变量和类变量的区别
不同对象的实例变量互不相同 
所有对象共享类变量 
通过类名直接访问类变量
3  实例方法和类方法的定义
类中的方法也可分为实例方法和类方法。方法声明时，方法类型前面不加关键字static修饰的是实例方法、加static关键字修饰的是类方法(静态方法)。
4 实例方法和类方法的区别 
 1）对象调用实例方法
当对象调用实例方法时，该方法中出现的实例变量就是分配给该对象的实例变量；该方法中出现的类变量也是分配给该对象的变量，只不过这个变量和所有的其他对象共享而已。
 2）类名调用类方法
从而类方法不仅可以被类创建的任何对象调用执行，也可以直接通过类名调用。和实例方法不同的是，类方法不可以操作实例变量，这是因为在类创建对象之前，实例成员变量还没有分配内存。",common,实例成员与类成员,,,,
30,:Content,方法重载的意思是：一个类中可以有多个方法具有相同的名字，但这些方法的参数必须不同，即或者是参数的个数不同，或者是参数的类型不同。,common,方法重载与多态,,,,
31,:Content,"this是Java的一个关键字，表示某个对象。this可以出现在实例方法和构造方法中，但不可以出现在类方法中。
this关键字出现在类的构造方法中时，代表使用该构造方法所创建的对象.
当this关键字出现实例方法中时，this就代表正在调用该方法的当前对象。

实例方法必须只能通过对象来调用，不能用类名来调用。
实例方法可以操作类的成员变量，当实例成员变量在实例方法中出现时，默认的格式是：
 this.成员变量;
当static成员变量在实例方法中出现时，默认的格式是：
           类名.成员变量; ",common,this关键字,,,,
32,:Content,"包是Java语言中有效地管理类的一个机制。
包名的目的是有效的区分名字相同的类。不同Java源文件中两个类名字相同时，它们可以通过隶属不同的包来相互区分。 ",common,包,,,,
33,:Knowledge,"通过关键字package声明包语句。
package语句作为Java源文件的第一条语句， 为该源文件中声明的类指定包名。
package语句的一般格式为：
                  package 包名;",common,包语句,,,,
34,:Knowledge,"程序如果使用了包语句，例如：
             package tom.jiafei;
那么存储文件的目录结构中必须包含有如下的结构    
          …\tom\jiafei
 如：c:\1000\tom\jiafei
并且要将源文件编译得到的类的字节码文件保存在目录c:\1000\tom\jiafei中（源文件可以任意存放）。",common,有包名的类的存储目录,,,,
35,:Knowledge,"如果主类的包名是tom.jiafei，那么主类的字节码一定存放在…\tom\jiefei目录中，运行时必须到tom\jiefei的上一层（即tom的父目录）目录中去运行主类。
假设tom\jiefei的上一层目录是1000，那么，必须如下格式来运行：
  C:\1000\java tom.jiafei.主类名 ",common,运行有包名的主类,,,,
36,:Content,"一个类可能需要另一个类声明的对象作为自己的成员或方法中的局部变量，如果这两个类在同一个包中，当然没有问题。 
如果一个类想要使用的那个类和它不在一个包中，要使用import语句完成使命。",key,import语句,,,,
37,:Knowledge,"用户程序也可以使用import语句引入非类库中有包名的类，如：
         import tom.jiafei.*;
在用户程序所在目录下建立和包相对应的子目录结构，比如用户程序所在目录是C:\ch4，想使用import语句引入tom.jiafei包中的类，那么根据包名建立如下的目录结构：
        C:\ch4\tom\jiafei",common,引入自定义包中的类,,,,
38,:Content,"当用一个类创建了一个对象之后，该对象可以通过“.”运算符操作自己的变量、使用类中的方法，但对象操作自己的变量和使用类中的方法是有一定限制的。
所谓访问权限是指对象是否可以通过“.”运算符操作自己的变量或通过“.”运算符使用类中的方法。 
访问限制修饰符有private、protected和public，都是Java的关键字，用来修饰成员变量或方法。",key,访问权限,,,,
39,:Knowledge,"用关键字private修饰的成员变量和方法称为私有变量和私有方法。
对于私有成员变量或方法，只有在本类中创建该类的对象时，这个对象才能访问自己的私有成员变量和类中的私有方法。
某个类在另外一个类中创建对象后，如果不希该对象直接访问自己的变量，即通过“.”运算符来操作自己的成员变量，就应当将该成员变量访问权限设置为private。
面向对象编程提倡对象应当调用方法来改变自己的属性，类应当提供操作数据的方法，这些方法可以经过精心的设计，使得对数据的操作更加合理。",common,私有变量和私有方法,,,,
40,:Knowledge,"用public修饰的成员变量和方法被称为公有变量和公有方法 。 
我们在任何一个类中用类Tom 创建了一个对象后，该对象能访问自己的public变量和类中的public方法（也可以通过类名来操作成员变量、方法） 。",common,公有变量和公有方法,,,,
41,:Knowledge,"当在另外一个类中用类Tom 创建了一个对象后，如果这个类与Tom类在同一个包中，那么该对象能访问自己的友好变量和友好方法。
在任何一个与Tom同一包中的类中，也可以通过Tom类的类名访问Tom类的类友好成员变量和类友好方法。",common,友好变量和友好方法,,,,
42,:Knowledge,用protected修饰的成员变量和方法被称为受保护的成员变量和受保护的方法 。,common,受保护的成员变量和方法,,,,
43,:Knowledge,"类声明时，如果在关键字class前面加上public关键字，就称这样的类是一个public 类 。
可以在任何另外一个类中,使用public类创建对象。 
如果一个类不加public修饰，这样的类被称作友好类。
在另外一个类中使用友好类创建对象时，要保证它们是在同一包中。",common,public类与友好类,,,,
44,:Content,"Java的基本数据类型包括
byte、int、short、long、float、double、char。
Java提供了基本数据类型相关的类，实现了对基本数据类型的封装。
Byte、Integer、Short、Long、Float、Double和Character类。这些类在java.lang包中。",common,基本类型的类封装,,,,
45,:Knowledge,"Double类和Float类实现了对double和float基本型数据的类包装。
Double类的构造方法：Double(double num)
Float类的构造方法：   Float(float num)
Double对象调用doubleValue()方法可以返回该对象中含有的double型数据。
Float对象调用floatValue()方法可以返回该对象中含有的float型数据。 ",common,Double和Float类,,,,
46,:Knowledge,"上述类的构造方法分别 ：
            Byte(byte num)
            Short(short num)
            Integer(int num)
            Long(long num)
Byte、Short、Integer和Long对象分别调用byteValue ()、shortValue()、intValue()和longValue ()方法返回该对象含有的基本型数据。",common,Byte、Short 、Integer、Long类,,,,
47,:Knowledge,"Character类实现了对char基本型数据的类包装。
      Character类的构造方法：Character(char c)
Character类中的一些常用类方法：
public static boolean isDigit(char ch)  ch是数字字符返回true.
public static boolean isLetter(char ch) ch是字母返回 true。",common,Character类,,,,
48,:Content,"如果程序需要某个类的若干个对象，比如Student类的10个对象，显然如下声明10个Student对象是不可取的：
    Student stu1,stu2, stu3,stu4,stu5,stu6,stu7,stu8, stu9,stu10;
正确的做法是使用对象数组，即数组的元素是对象，例如：
       Student [] stu;
       stu = new Student[10];
需要注意的是，上述代码仅仅定义了数组stu有10个元素，并且每个元素都是一个Student类型的对象，但这些对象目前都是空对象，因此在使用数组stu中的对象之前，应当创建数组所包含的对象。
    例如：            stu[0] = new Student();  ",common,对象数组,,,,
49,:Content,"反编译器javap.exe可以将字节码反编译为源码，以便查看源码类中的public方法名字和public成员变量的名字。
            例如：javap java.awt.Button
使用javadoc.exe可以制做源文件类结构的html格式文档。
            例如： javadoc  Example.java ",common,反编译和文档生成器,,,,
50,:Content,可以使用jar.exe命令把一些类的字节码文件压缩成一个jar文件，然后将这个jar文件存放到Java运行环境的扩展中，即将该jar文件存放在JDK安装目录的jre\lib\ext文件夹中。这样，Java应用程序就可以使用这个jar文件中的类来创建对象了。,common,jar文件,,,,
51,:Content,有理数有两个重要的成员：分子和分母，另外还有重要的四则运算。,common,应用举例,,,,
52,:Knowledge,"1．菜单条
  JComponent类的子类JMenubar负责创建菜单条，JFrame类有一个将菜单条放置到窗口中的方法:setJMenuBar(JMenuBar bar);该方法将菜单条添加到窗口的顶端。
菜单条JMenuBar类构造方法：JMenuBar(); JMenuBar  Mbar=new JMenuBar()
2．菜单
  JComponent类的子类JMenu负责创建菜单。
菜单JMenu类构造方法：JMenu() ; JMenu(String?s) ; JMenu m=new JMenu();
常用方法：
    public void add(JMenuItem item) 向菜单增加由参数item指定的菜单项
  public JMenuItem getItem(int n) 得到指定索引处的菜单选项。
  public int getItemCount() 得到菜单选项的数目。
3.菜单项 
  JComponent类的子类JMenuItem负责创建菜单项,JMenuItem类的主要方法有以下几种：
  JMenuItem(String s) 构造有标题的菜单项。
  JMenuItem(String text, Icon icon) 构造有标题和图标的菜单项
  public void setAccelerator(KeyStroke keyStroke)为菜单项设置快捷键",common,菜单条、菜单、菜单项,,,,
53,:Content,"可以使用JComponent的子类JTextField创建各种组件。利用组件可以完成应用程序与用户的交互及事件处理等。
也可以在命令行窗口反编译组件即时查看组件所具有的属性及常用方法，例如：
          C:\>javap javax.swing.JComponent
也可以查看类库帮助文档.例如下载Java类库帮助文档：jdk-6-doc.zip。",common,常用组件与布局,,,,
54,:Knowledge,"1．文本框：由JComponent的子类JTextField创建文本框。
构造函数：JTextField( ) ; JTextField(int?columns) ;
常用方法：public String getText();
                    public void setText(String?t);
2．文本区：由JComponent的子类JTexArea创建文本区。
构造函数：JTextArea() ;JTextArea(int?rows, int?columns) 
常用方法：public String getText();
                    public void setText(String?t);
3．按钮：由JComponent的子类JButton类用来创建按钮。
构造函数：JButton() ; JButton(String?text) ;
常用方法：public void addActionListener(ActionListener?l);
4.标签：由JComponent的子类JLabel类用来创建标签。
构造函数：JLabel() ; JLabel(String?text) ; JLabel(Icon?image) ;
常用方法：public String getText(); 
                    public void setText(String?t);
5.选择框：由JComponent的子类JCheckBox类用来创建选择框
构造函数： JCheckBox() ;JCheckBox(String?text) ;
常用方法： public void addItemListener(ItemListener?l) 
                     public void addActionListener(ActionListener?l) 
ItemListener接口中：Object getItemSelectable()相当于getSource();
                                public int getStateChange();
                                若被选中SELECTED/DESEELCTED
6.单选按钮：由JComponent的子类JRadioButton类用来创建单项选择框。
构造函数： JRadioButton() ; JRadioButton(String?text) ;
常用方法： public void addItemListener(ItemListener?l)
7.下拉列表：由JComponent的子类JComboBox类用来创建下拉列表。
构造函数：JComboBox() ; JComboBox(Object[]?items) 
常用方法： public void addItemListener(ItemListener?l) 
                    public Object getSelectedItem();
                    public int getSelectedIndex()
8.密码框：由JComponent的子类JPasswordField创建密码框.
构造函数：JPasswordField() ; JPasswordField(int?columns) 
常用方法：public String getText();
                    public void setText(String?t);
public void setEchoChar(char?c)使用该方法重新设置回显字符.                       
public char[] getPassword()方法可以返回实际的密码",key,常用组件,,,,
55,:Knowledge,"JComponent是Container的子类，因此JComponent子类创建的组件也都是容器。容器经常用来添加组件。JFrame是底层容器，本节提到的容器被习惯地称做中间容器，中间容器必须被添加到底层容器中才能发挥作用。
1．JPanel 面板: 
   构造方法：JPanel() ；如： JPanel p=new JPanel(); 
   常用方法：public void add();
   使用JPanel创建面板，再向这个面板添加组件，然后把这个面板添加到其它容器中。JPanel面板的默认布局是FlowLayout布局。
2．滚动窗格JScrollPane:
  构造方法：JScrollPane() ;JScrollPane(Component?view)                       JScrollPane(int?vsbPolicy, int?hsbPolicy) 
  其中参数：int HORIZONTAL_SCROLLBAR_ALWAYS 等
  常用方法：public JViewport getViewport()
                      public void setViewport(JViewport?viewport)  
  例如：可以将文本区放到一个滚动窗格中。
       JScorollPane scroll=new JScorollPane(new JTextArea()); 
3.拆分窗格JSplitPane:窗格有两种类型：水平拆分和垂直拆分
 常用的构造方法：
  (1)JSplitPane(int a,Component left,Component right) 
    创建一个具有指定方向和不连续重绘的指定组件的新 JSplitPane.
其中:JSplitPane.HORIZONTAL_SPLIT 或 JSplitPane.VERTICAL_SPLIT  
  (2)JSplitPane(int a, boolean b,Component c,Component d)  
   创建一个具有指定方向、重绘方式和指定组件的新 JSplitPane.
 常用方法：
   public void setLeftComponent(Component?comp)
   public void setRightComponent(Component?comp) ",key,常用容器,,,,
56,:Knowledge,"当把组件添加到容器中时，希望控制组件在容器中的位置，这就需要学习布局设计的知识。
我们将分别介绍java.awt包中的FlowLayout、BorderLayout、CardLayout、GridLayout布局类和java.swing.border包中的BoxLayout布局类。
   
容器可以使用方法：
           setLayout(布局对象);
   来设置自己的布局，控制组件在容器中的位置
1．FlowLayout布局:是JPanel型容器的默认布局
 1)创建布局对象 : FlowLayout flow=new FlowLayout();
 2)容器con使用布局对象: con.setLayout(flow);
 3)con可以使用Container类提供的add方法将组件顺序地添加到容器中
    FlowLayout布局对象调用相应的方法可以重新设置布局的对齐方式等.
    如： public void setAlignment(int?align) 
2．BorderLayout布局:
 BorderLayout 布局是Window型容器的默认布局 。
 使用BorderLayout布局的容器con，可以使用add方法将一个组件b添加到中心区域：con.add(b,BorderLayout.CENTER);
            或  con.add(BorderLayour.CENTER,b); 
3．CardLayout 布局 :  使用CardLayout的一般步骤如下：
   1)创建CardLayout对象 CardLayout card=new CardLayout();
   2)为容器设置布局 con.setLayout(card);
   3)容器调用add(String s,Component b)将组件b加入容器，并给出了显示该组件的代号s。
   4)布局对象card用CardLayout类提供的show()方法，显示容器con中组件代号为s的组件：card.show(con,s);
   使用CardLayout 的容器可以容纳多个组件，但是实际上同一时刻容器只能从这些组件中选出一个来显示，就像一叠“扑克牌”每次只能显示最上面一张一样，这个被显示的组件将占据所有的容器空间，依次排序
4．GridLayout布局 :
   GridLayout布局策略是把容器划分成若干行乘若干列的网格区域，组件就位于这些划分出来的小格中。 GridLayout布局编辑器的一般步骤如下：
   1)创建布局对象，指定划分网格的行数m和列数n
   GridLayout grid=new new GridLayout(10,8); 
   2)使用GridLayout布局的容器调用方法add(Component c)将组件c加入容器。 
5．BoxLayout布局:
   使用盒式布局的容器将组件排列在一行或一列 .BoxLayout布局的一般步骤如下：
   1)创建布局对象，使用BoxLayou的构造方法BoxLayout(Container con，,int axis)可以创建一个盒式布局对象. 
  2)可以使用Box类的类（静态）方法 createHorizontalBox()获得一个具有行型盒式布局的盒式容器；  使用Box类的类（静态）方法 createVerticalBox()获得一个具有列型盒式布局的盒式容器。 
   3)控制盒式布局容器中组件之间的距离 
   Box类调用静态方法createHorizontalStrut(int width)可以得到一个不可见的水平Struct对象，称做水平支撑。 Box类调用静态方法createVertialStrut(int height)可以得到一个不可见的垂直Struct对象，称做垂直支撑。
   例子5  Example9_5.java  WindowBoxLayout.java 
   两个列型盒式容器boxV1、boxV2和一个行型盒式容器baseBox。
   在列型盒式容器的组件之间添加垂直支撑，控制组件之间的距离，将boxV1、boxV2添加到baseBox中，并在它俩之间添加了水平支撑。程序运行效果如图9.6。
 6．null布局 : 
   空布局容器可以准确地定位组件在容器的位置和大小。组件调用setBounds(int a,int b,int width,int height)方法可以设置本身的大小和在容器中的位置     

",key,常用布局,,,,
57,:Content,"学习组件除了要熟悉组件的属性和功能外，一个更重要的方面是学习怎样处理组件上发生的界面事件。当用户在文本框中键入文本后按回车键、单击按钮、在一个下拉式列表中选择一个条目等操作时，都发生界面事件。

程序有时需对发生的事件作出反应，来实现特定的任务，例如，用户单击一个名字叫“确定”或名字叫“取消”的按钮，程序可能需要作出不同的处理。",key,处理事件,,,,
58,:Knowledge,"1．事件源 :能够产生事件的对象都可以成为事件源 .

 2．监视器 :事件源通过调用相应的方法将某个对象注册为自己的监视器。对于文本框，这个方法是：addActionListener(监视器);
       java语言中监视器都是使用接口来实现的。事件源注册监视器之后，相应的操作就会导致相应的事件的发生，并通知监视器，监视器就会作出相应的处理。 
 3．处理事件的接口:
   监视器负责处理事件源发生的事件。监视器是一个对象，为了处理事件源发生的事件，监视器这个对象会自动调用接口中一个方法来处理事件。 
    Java规定：为了让监视器这个对象能对事件源发生的事件进行处理，创建该监视器对象的类必须声明实现相应的接口，那么当事件源发生事件时，监视器就自动调用被类重写的某个接口方法(如图9.7)。

",key,事件处理模式,,,,
59,:Knowledge,"1.ActionEvent事件源 :
    文本框、按纽、菜单项、密码框和单选按纽都可以触发ActionEvent事件，即都可以成为ActionEvent事件的事件源。 
 2.注册监视器: ActionListener接口作为监视器
    事件源.addActionListener(ActionListener listen)
   将实现ActionListener接口的类的实例注册为事件源的监视器。 
 3.ActionListener接口：重写接口中的方法作为事件处理。
    ActionListener接口在java.awt.event包中,该接口中只有一个方法:
    public void actionPerformed(ActinEvent e) 
        事件源触发ActionEvent事件后，监视器将发现触发的ActionEvent事件，然后调用接口中的这个方法对发生的事件作出处理。ActionEvent类事先创建的事件对象就会传递给该方法的参数e。  
4.ActionEvent类中的方法:下面的方法能够获取发生动作的事件源。
   public Object getSource() 
      调用该方法可以获取发生ActionEvent事件的事件源对象的引用。
   public String getActionCommand() 
      调用该方法可以获取发生ActionEvent事件时，和该事件相关的一个命令字符串",key,ActionEvent事件,,,,
60,:Knowledge,"1．ItemEvent事件源 :选择框、下拉列表都可以触发ItemEvent事件。
2．注册监视器:ItemListener接口作为监视器
     事件源.addItemListener(ItemListener listen)
     将实现ItemListener接口的类的实例注册为事件源的监视器。 
3．ItemListener接口:重写方法作为事件处理
    ItemListener接口在java.awt.event包中,该接口中只有一个方法
    public void itemStateChanged(ItemEvent e) 
    事件源触发ItemEvent事件后，监视器将发现触发的ItemEvent事件，然后调用接口中的itemStateChanged(ItemEvent  e)方法对发生的事件作出处理。ItemEvent类事先创建的事件对象就会传递给该方法的参数e。 
4．ItemEvent类中的方法 :
    getSource()方法返回发生Itemevent事件的事件源外
    getItemSelectable()方法返回发生Itemevent事件的事件源。",key,ItemEvent事件,,,,
61,:Knowledge,"1．DocumentEvent事件源 :文本区所维护的文档能触发DocumentEvent事件  2．注册监视器:DocumentListener作为监视器
     addDucumentListener(DocumentListener listen)
     将实现DocumentListener接口的类的实例注册为事件源的监视器。 
3．DocumentListener接口:重写接口中的方法作为事件处理
    DocumentListener接口在javax.swing.event包中，该接口中有三个方法：
          public void changedUpdate(DocumentEvent e)    
    public void removeUpdate(DocumentEvent e)
    public void insertUpdate(DocumentEvent e)
",key,DocumentEvent事件,,,,
