_labels:label,Name,description,feature,_start:id,_end:id
776,:Knowledge,try~catch语句,Java使用try~catch语句来处理异常，将可能出现的异常操作放在try~catch语句的try部分，将发生异常后的处理放在catch部分。 try~catch语句的格式如下： try {包含可能发生异常的语句 }catch(ExceptionSubClass1  e) {  …}catch(ExceptionSubClass2  e) { …},key,
777,:Knowledge,正则表达式及字符串的替换与分解 ,1．正则表达式：一个正则表达式是含有一些具有特殊意义字符的字符串，这些特殊字符称作正则表达式中的元字符2．字符串的替换 public String replaceAll(String regexString replacement)方法返回一个字符串，该字符串是当前字符串中所有和参数regex指定的正则表达式匹配的子字符串被参数replacement指定的字符串替换后的字符串3．字符串的分解public String[] split(String regex)使用参数指定的正则表达式regex做为分隔标记分解出其中的单词，并将分解出的单词存放在字符串数组中。,key,
778,:Knowledge,CachedRowSetImpl类,com.sun.rowset包提供了CachedRowSetImpl类，该类实现了CachedRowSet接口。CachedRowSetImpl对象可以保存ResultSet对象中的数据，而且CachedRowSetImpl对象不依赖Connnection对象.将ResultSet对象rs中的数据保存到CachedRowSetImpl对象rowSet中的代码如下： rowSet.populate(rs); ,common,
779,:Knowledge,Random类, Random类的如下构造方法：public Random();public Random(long seed);使用参数seek指定的种子创建一个Random对象随机数生成器random调用不带参数的nextInt()方法：Random random=new Random(); random.nextInt();返回一个0至n之间（包括0，但不包括n）的随机数 随机数生成器random调用带参数的nextInt(int m)方法（参数m必须取正整数值）,key,
780,:Knowledge,内部类介绍,Java支持在一个类中声明另一个类，这样的类称作内部类，而包含内部类的类成为内部类的外嵌类,key,
781,:Knowledge,内部类的使用规则,声明内部类如同在类中声明方法或变量一样，一个类把内部类看作是自己的成员。外嵌类的类体中可以用内部类声明的对象，作为外嵌类的成员。外嵌类的成员变量在内部类中仍然有效，内部类中的方法也可以调用外嵌类中的方法。内部类的类体中不可以声明类变量和方法。外嵌类和内部类在编译时，生成两个.class文件。  ,key,
782,:Knowledge,事务及处理,事务由一组SQL语句组成，所谓事务处理是指：应用程序保证事务中的SQL语句要么全部都执行，要么一个都不执行。,common,
783,:Knowledge,算术混合运算的精度,java中数据类型的精度从“低”到“高”排列的顺序是：byte  short  char  int  long  float  double,key,
784,:Knowledge,预处理语句优点,预处理不仅减轻了数据库的负担，而且也提高了访问数据库的速度,common,
785,:Knowledge,StringTokenizer对象方法,1) nextToken()：逐个获取字符串中的语言符号（单词），字符串分析器中的负责计数的变量的值就自动减一  。(2) hasMoreTokens()：只要字符串中还有语言符号，即计数变量的值大于0，该方法就返回true，否则返回false。 (3)countTokens()：得到分析器中计数变量的值。,key,
786,:Knowledge,批处理,JDBC为Statement对象提供了批处理功能，即Statement对象调用executeBatch()方法可以一次执行多个SQL语句，只要事先让Statement对象调用addBatch(String sql)方法将要执行的SQL语句添加到该对象中即可,common,
787,:Knowledge,和接口有关的匿名类,假设Computable是一个接口，那么，Java允许直接用接口名和一个类体创建一个匿名对象，此类体被认为是实现了Computable接口的类去掉类声明后的类体，称作匿名类,common,
788,:Knowledge,使用正则表达式作为分隔标记解析字符串 ,Scanner对象可以调用 useDelimiter(正则表达式); 方法将一个正则表达式作为分隔标记，即和正则表达式匹配的字符串都是分隔标记。 ,key,
789,:Knowledge,条件查询,分别按类查询。主类将查询条件传递Query类的实例,key,
790,:Knowledge,自增、自减运算符,++，--,key,
791,:Knowledge,逻辑运算符,逻辑运算符包括： &&、||、!，其中：&&、|| 为二目运算符，实现逻辑与、逻辑或；！为单目运算符，实现逻辑非。,key,
792,:Knowledge,模糊查询,可以用SQL语句操作符LIKE进行模式般配，使用“%”代替零个或多个字符，用一个下划线“_”代替一个字符，用[abc]代替a、b、c中的任何一个。,key,
793,:Knowledge,Formatter 类方法,1）格式化模式  format方法中的“格式化模式”是一个用双引号括起的字符序列(字符串)，该字符序列中的字符由格式符和普通字符所构成。format方法返回的字符串就是“格式化模式”中的格式符被替换为它得到的格式化结果后的字符串。2）值列表   format方法中的“值列表”是用逗号分隔的变量、常量或表达式。 3）格式化顺序 format方法默认按从左到右的顺序使用“格式化模式”中的格式符来格式化“值列表”中对应的值，而“格式化模式”中的普通字符保留原样,common,
794,:Knowledge,if-else 语句,if-else 语句是双条件分支语句，即根据一个条件来控制程序执行的流程。,key,
795,:Knowledge,建立数据库,建立一个名字为shop的数据库。操作步骤如下：单击“开始”→“所有程序”→“Microsoft Access”，在新建数据库界面选择“空Access数据库”，然后命名、保存新建的数据库,key,
796,:Knowledge,format方法 ,Formatter类的format方法：format(格式化模式，日期列表)，按着“格式化模式”返回“日期列表”中所列各个日期中所含数据（年，月，日，小时等数据）的字符串表示。format方法中的“格式化模式”是一个用双引号括起的字符序列（字符串），该字符序列中的字符由时间格式符和普通字符所构成。 可以在“格式化模式”中使用“<”，比如："%ty-%<tm-%<td"中的三个格式符将格式化同一日期，即含有“<”的格式符和它前面的格式符格式同一个日期,common,
797,:Knowledge,创建表,在shop数据库中创建名字为goods的表。在shop管理的“表”的界面上选择“使用设计器创建表”，然后单击界面上的“设计”菜单，将出现相应的建表界面，我们建立的表是goods，该表的字段(属性)为：number(文本)  name(文本)  madeTime(日期)  price(数字，双精度)。,key,
798,:Knowledge,建立模式对象,使用正则表达式regex做参数得到一个称为模式的Pattern类的实例pattern.模式对象是对正则表达式的封装。Pattern类调用类方法compile(String regex)返回一个模式对象，其中的参数regex是一个正则表达式称为模式对象使用的模式。                               ,common,
799,:Knowledge,do-while循环,do-while语句的语法格式： do {若干语句} while(表达式);  do- while语句的执行规则是：(1)执行循环体，再进行(2)。 (2)计算表达式的值，如果该值是true时，就进行(1)否则执行(3)。 (3)结束while语句的执行。    ,key,
800,:Knowledge,instanceof 运算符,instanceof 运算符是二目运算符，左面的操作元是一个对象；右面是一个类。当左面的对象是右面的类或子类创建的对象时，该运算符运算的结果是true ，否则是false。,key,
801,:Knowledge,for循环语句,for (表达式1; 表达式2; 表达式3) { 若干语句 } ,key,
802,:Knowledge, StringBuffer对象的创建,StringBuffer类有三个构造方法：1)StringBuffer()2)StringBuffer(int size)3)StringBuffer(String s),common,
803,:Knowledge,构造方法,StringTokenizer(String s)StringTokenizer(String s，String delim),key,
804,:Knowledge,ODBC数据源,1)创建、修改或删除数据源2)为数据源选择驱动程序 3)数据源名称及对应数据库的所在位置   ,common,
805,:Knowledge,Calendar类,calendar对象可以调用方法：public long getTimeInMillis() 可以将时间表示为毫秒。public final void setTime(Date?date)使用给定的 Date 设置此 Calendar 的时间 ，public int get(int field) ：可以获取有关年份、月份、小时、星期等信息,key,
806,:Knowledge,关系运算符, > ， <，>= ，<=，== ，!=,key,
807,:Knowledge,断言格式,assert booleanExpression;assert booleanExpression:messageException;,common,
808,:Knowledge,获取类的有关信息,当一个类被加载且创建对象时，和该类相关的一个类型为Calss的对象就会自动创建，任何对象调用getClass()方法都可以获取和该对象相关的一个Class对象，这个Class对象调用如下的方法可以获取对象的有关信息,common,
809,:Knowledge,BigInteger类,构造方法：public BigInteger(String val)  构造一个十进制的BigInteger对象。 常用类方法：public BigInteger add(BigInteger val)  返回当前大整数对象与参数指定的大整数对象的和。public BigInteger subtract(BigInteger val)返回当前大整数对象与参数指定的大整数对象的差。public BigInteger multiply(BigInteger val)返回当前大整数对象与参数指定的大整数对象的积。public BigInteger divide(BigInteger val)返回当前大整数对象与参数指定的大整数对象的商。public BigInteger remainder(BigInteger val)返回当前大整数对象与参数指定的大整数对象的余。public int compareTo(BigInteger val) 返回当前大整数对象与参数指定的大整数的比较结果，返回值是1、-1或0，分别表示当前大整数对象大于、小于或等于参数指定的大整数。public BigInteger pow(int a)  返回当前大整数对象的a次幂。public String toString()  返回当前大整数对象十进制的字符串表示。public String toString(int p)  返回当前大整数对象p进制的字符串表示。,key,
810,:Knowledge,构造字符串对象,字符串对象声明：String s; String类较常用构造方法:String(s)，String(char a[]，int startIndex，int count),key,
811,:Knowledge,断言概念,断言语句用于调试代码阶段。在调试代码阶段让断言语句发挥作用，这样就可以发现一些致命的错误，当程序正式运行时就可以关闭断言语句，但仍把断言语句保留在源代码中，如果以后应用程又需要调试，可以重新启用断言语句。,common,
812,:Knowledge,建立JDBC-ODBC桥接器,JDBC使用java.lang包中的Class类建立JDBC-ODBC桥接器。,common,
813,:Knowledge,自定义异常类,一个方法在声明时可以使用throws关键字声明要产生的若干个异常，并在该方法的方法体中具体给出产生异常的操作，即用相应的异常类创建对象，并使用throw关键字抛出该异常对象，导致该方法结束执行。,key,
814,:Knowledge,更新、添加和删除记录的SQL语法,UPDATE <表名>  SET <字段名> = 新值 WHERE <条件子句>，INSERT INTO 表(字段列表) VALUES （对应的具体的记录）或INSERT INTO 表(VALUES （对应的具体的记录），DELETE  FROM  <表名> WHERE <条件子句> ,common,
815,:Knowledge,符串与基本数据的相互转化,public static int parseInt(String s)public static String valueOf(byte/int/long/float n) public static String valueOf(byte n)public static String valueOf(int n)public static String valueOf(long n)  public static String valueOf(float n)public static String valueOf(double n),key,
816,:Knowledge,格式化整数 ,1）%d，%o，%x和%格式符可格式化byte、Byte、short、Short、int、Integer、long和Long型数据2）修饰符：加号修饰符"+"格式化正整数时，强制添加上正号，例如，%+d将123格式化为"+123"。,common,
817,:Knowledge,if-else if-else 语句,if-elseif 语句是多条件分支语句，即根据多个条件来控制程序执行的流程。,key,
818,:Knowledge,格式化浮点数 ,%d，%o，%x和%格式符,common,
819,:Knowledge,使用统配符,在对SQL进行预处理时可以使用统配符“？”来代替字段的值，只要在预处理语句执行之前再设置统配符所表示的具体值即可。预处理语句设置统配符“？”的值的常用方法有： void setDate(int parameterIndex，Date x)；void setDouble(int parameterIndex，double x)；void setFloat(int parameterIndex，float x)；void setInt(int parameterIndex，int x)；void setLong(int parameterIndex，long x)；void setString(int parameterIndex，String x) ,common,
