_id,_labels,description,feature,name
216,:Content,,common,简单程序
217,:Content,,common,编程风格
234,:Content,,common,数组流
235,:Content,,common,数据流
244,:Content,,common,对象流
245,:Content,,common,序列化与对象克隆
249,:Content,"8种基本数据类型习惯上可分为以下四大类型：
逻辑类型：boolean
整数类型：byte、short、int、long
字符类型：char
浮点类型：float、double ",common,基本数据类型
250,:Content,,common,使用Scanner解析文件
263,:Content,,common,文件锁
267,:Content,数组是相同类型的数据按顺序组成的一种复合数据类型。通过数组名加数组下标，来使用数组中的数据。下标从0开始排序。,common,数组
275,:Content,应用举例,common,数组的应用
276,:Content,,common,标识符和关键字
281,:Content,,common,类型转换
282,:Content,从命令行输入与输出数据,common,输入与输出
284,:Content,,common,子类与父类
285,:Content,类可以有两种重要的成员：成员变量和方法。子类的成员中有一部分是子类自己声明定义的，另一部分是从它的父类继承的。 所谓子类继承父类的成员变量就是把继承来的变量作为自己的一个成员变量，就好象它们是在子类中直接声明一样，可以被子类中自己定义的任何实例方法操作。所谓子类继承父类的方法就是把继承来的方法作为子类中的一个方法，就好象它们是在子类中直接定义了一样，可以被子类中自己定义的任何实例方法调用。,common,子类的继承性
286,:Content,类继承了父类的很多东西，那么子类在创建对象的时候，他又是怎么生成自己的对象的呢。子类生成的对象会有哪些东西呢。,common,子类与对象
287,:Content,,common,成员变量的隐藏和方法重写
288,:Content,,common,super关键字
289,:Content,,common,final关键字
290,:Content,,common,对象的上转型对象
291,:Content,,common,继承与多态
292,:Content,,common,abstract类与abstract方法
293,:Content,,common,面向抽象编程
294,:Content,,common,开闭原则
322,:Content,,common,接口
323,:Content,,common,实现接口
324,:Content,,common,理解接口
325,:Content,,common,接口回调
326,:Content,,common,接口与多态
327,:Content,,common,接口变量作参数
328,:Content,,common,面向接口编程
337,:Content,,common,接口的UML图
338,:Content,,common,abstract类与接口的比较
354,:Content,,common,文件对话框
714,:Content,,common,语句概述
715,:Content,,common,if条件分支语句
716,:Content,,common,switch开关语句
717,:Content,,common,循环语句
718,:Content,,common,break和continue语句
719,:Content,,common,for语句与数组
720,:Content,,common,运算符与表达式
721,:Content,,common,String类
722,:Content,,common,StringTokenizer类 
723,:Content,,common,Scanner类
724,:Content,,common,Date与Calendar类
725,:Content,,common,Calendar类
726,:Content,,common,日期的格式化
727,:Content,,common,Math、BigInteger和Random类
728,:Content,,common,数字格式化
729,:Content,,common,StringBuffer类
730,:Content,,common,Pattern与Matcher类
731,:Content,,common,Class类
732,:Content,,common,内部类
733,:Content,,common,匿名类
734,:Content,,key,异常类
735,:Content,,common,断言
736,:Content,,common,Microsoft Access 数据库管理系统 
737,:Content,,common,JDBC
738,:Content,,common,连接数据库 
739,:Content,,common,查询操作
740,:Content,,common,更新、添加与删除操作
741,:Content,,common,使用预处理语句
742,:Content,,common,事务
743,:Content,,key,批处理
744,:Content,,common,CachedRowSetImpl类
