_id,_labels,description,feature,name,_start,_end,_type,name
44,:Content,"Java的基本数据类型包括
byte、int、short、long、float、double、char。
Java提供了基本数据类型相关的类，实现了对基本数据类型的封装。
Byte、Integer、Short、Long、Float、Double和Character类。这些类在java.lang包中。",common,基本类型的类封装,,,,
48,:Content,"如果程序需要某个类的若干个对象，比如Student类的10个对象，显然如下声明10个Student对象是不可取的：
    Student stu1,stu2, stu3,stu4,stu5,stu6,stu7,stu8, stu9,stu10;
正确的做法是使用对象数组，即数组的元素是对象，例如：
       Student [] stu;
       stu = new Student[10];
需要注意的是，上述代码仅仅定义了数组stu有10个元素，并且每个元素都是一个Student类型的对象，但这些对象目前都是空对象，因此在使用数组stu中的对象之前，应当创建数组所包含的对象。
    例如：            stu[0] = new Student();  ",common,对象数组,,,,
49,:Content,"反编译器javap.exe可以将字节码反编译为源码，以便查看源码类中的public方法名字和public成员变量的名字。
            例如：javap java.awt.Button
使用javadoc.exe可以制做源文件类结构的html格式文档。
            例如： javadoc  Example.java ",common,反编译和文档生成器,,,,
50,:Content,可以使用jar.exe命令把一些类的字节码文件压缩成一个jar文件，然后将这个jar文件存放到Java运行环境的扩展中，即将该jar文件存放在JDK安装目录的jre\lib\ext文件夹中。这样，Java应用程序就可以使用这个jar文件中的类来创建对象了。,common,jar文件,,,,
51,:Content,有理数有两个重要的成员：分子和分母，另外还有重要的四则运算。,common,应用举例,,,,
53,:Content,"可以使用JComponent的子类JTextField创建各种组件。利用组件可以完成应用程序与用户的交互及事件处理等。
也可以在命令行窗口反编译组件即时查看组件所具有的属性及常用方法，例如：
          C:\>javap javax.swing.JComponent
也可以查看类库帮助文档.例如下载Java类库帮助文档：jdk-6-doc.zip。",common,常用组件与布局,,,,
57,:Content,"学习组件除了要熟悉组件的属性和功能外，一个更重要的方面是学习怎样处理组件上发生的界面事件。当用户在文本框中键入文本后按回车键、单击按钮、在一个下拉式列表中选择一个条目等操作时，都发生界面事件。

程序有时需对发生的事件作出反应，来实现特定的任务，例如，用户单击一个名字叫“确定”或名字叫“取消”的按钮，程序可能需要作出不同的处理。",key,处理事件,,,,
68,:Content,"模型-视图-控制器（Model-View-Controller），简称为MVC。
MVC是一种先进的设计结构，其目的是以会话形式提供方便的GUI支持。
MVC是一种通过三个不同部分构造一个软件或组件的理想办法：
模型(model)  用于存储数据的对象。
视图(view)   为模型提供数据显示的对象。
控制器(controller)处理用户的交互操作，对于用户的操作作出响应，让模型和视图进行必要的交互，即通过视图修改、获取模型中的数据；当模型中的数据变化时，让视图更新显示。",common,使用MVC结构,,,,
69,:Content,"JDialog类和JFrame都是Window的子类，二者的实例都是底层容器。
JDialog类创建的对话框必须要依赖于某个窗口。 
对话框分为无模式和有模式两种。
有模式的对话框：当这个对话框处于激活状态时，只让程序响应对话框内部的事件，而且将堵塞其它线程的执行，用户不能再激活对话框所在程序中的其它窗口，直到该对话框消失不可见。
无模式对话框：当这个对话框处于激活状态时，能再激活其它窗口，也不堵塞其它线程的执行。",common,对话框,,,,
75,:Content,,common,树组件与表格组件,,,,
78,:Content,"按钮帮定到键盘的步骤如下:
(1) 获取输入映射.   按钮首先调用
   public final InputMap getInputMap(int condition)  
   方法返回一个InputMap对象.
(2)绑定按钮的键盘操作.   步骤（1）返回的输入映射首先调用方法
   public void put(KeyStroke keyStroke,Object actionMapKey)
  将敲击键盘上的某键指定为按钮的键盘操作.
(3)为按钮的键盘操作指定监视器.    按钮调用方法
    public final ActionMap getActionMap()
    返回一个ActionMap对象：
    ActionMap actionmap = button.getActionMap();
    然后，该对象actionmap调用方法：
    public void put(Object key,Action action) 
    为按钮的键盘操作指定监视器",common,按钮绑定到键盘,,,,
79,:Content,"步骤如下：
1.获取ToolKit对象
       让组件调用getToolkit()方法返回系统提供的Toolkit对象。
2.获得PrintJob对象
       Toolkit对象调用getPrintJob()方法返回一个PrintJob对象。
3.获取Graphics对象
       PrintJob对象使用getGraphics()方法获得一个Graphics对象。
4.打印组件
      步骤3获取的Graphics对象是g，组件调用
 paintAll(g)
 将打印出该组件及其子组件。如果调用方法：
 pain(g)
 将打印出该组件本身，但不打印子组件。",common,打印组件,,,,
80,:Content,"可以使用jar.exe把一些文件压缩成一个JAR文件，来发布我们的应用程序。
生成一个Jar文件的步骤如下：
 1．首先用文本编辑器（比如Windows下的记事本）编写一个清单文件 ，扩展名为.mf，如Mymoon.mf 。 
 2．生成JAR文件 
如果目录test下的字节码文件刚好是应用程序需要的全部字节码文件，也可以如下生成JAR文件：
 D:\test\jar cfm Tom.jar Mymoon.mf  *.class 
可以将Tom.jar文件复制到任何一个安装了java运行环境的计算机上，只要用鼠标双击该文件就可以运行该java应用程序了。 ",common,发布GUI程序,,,,
203,:Content,,common,File类,,,,
204,:Content,,common,文件字节输入、输出流,,,,
207,:Content,,common,文件字符输入、输出流,,,,
208,:Content,,common,缓冲流,,,,
209,:Content,,common,随机流,,,,
212,:Content,,common,地位,,,,
213,:Content,,common,诞生,,,,
214,:Content,,common,特点,,,,
215,:Content,,common,JDK安装,,,,
216,:Content,,common,简单程序,,,,
217,:Content,,common,编程风格,,,,
234,:Content,,common,数组流,,,,
235,:Content,,common,数据流,,,,
244,:Content,,common,对象流,,,,
245,:Content,,common,序列化与对象克隆,,,,
249,:Content,"8种基本数据类型习惯上可分为以下四大类型：
逻辑类型：boolean
整数类型：byte、short、int、long
字符类型：char
浮点类型：float、double ",common,基本数据类型,,,,
250,:Content,,common,使用Scanner解析文件,,,,
263,:Content,,common,文件锁,,,,
267,:Content,数组是相同类型的数据按顺序组成的一种复合数据类型。通过数组名加数组下标，来使用数组中的数据。下标从0开始排序。,common,数组,,,,
275,:Content,应用举例,common,数组的应用,,,,
276,:Content,,common,标识符和关键字,,,,
281,:Content,,common,类型转换,,,,
282,:Content,从命令行输入与输出数据,common,输入与输出,,,,
284,:Content,,common,子类与父类,,,,
285,:Content,类可以有两种重要的成员：成员变量和方法。子类的成员中有一部分是子类自己声明定义的，另一部分是从它的父类继承的。 所谓子类继承父类的成员变量就是把继承来的变量作为自己的一个成员变量，就好象它们是在子类中直接声明一样，可以被子类中自己定义的任何实例方法操作。所谓子类继承父类的方法就是把继承来的方法作为子类中的一个方法，就好象它们是在子类中直接定义了一样，可以被子类中自己定义的任何实例方法调用。,common,子类的继承性,,,,
286,:Content,类继承了父类的很多东西，那么子类在创建对象的时候，他又是怎么生成自己的对象的呢。子类生成的对象会有哪些东西呢。,common,子类与对象,,,,
287,:Content,,common,成员变量的隐藏和方法重写,,,,
288,:Content,,common,super关键字,,,,
289,:Content,,common,final关键字,,,,
290,:Content,,common,对象的上转型对象,,,,
291,:Content,,common,继承与多态,,,,
292,:Content,,common,abstract类与abstract方法,,,,
293,:Content,,common,面向抽象编程,,,,
294,:Content,,common,开闭原则,,,,
322,:Content,,common,接口,,,,
323,:Content,,common,实现接口,,,,
324,:Content,,common,理解接口,,,,
325,:Content,,common,接口回调,,,,
326,:Content,,common,接口与多态,,,,
327,:Content,,common,接口变量作参数,,,,
328,:Content,,common,面向接口编程,,,,
337,:Content,,common,接口的UML图,,,,
338,:Content,,common,abstract类与接口的比较,,,,
354,:Content,,common,文件对话框,,,,
714,:Content,,common,语句概述,,,,
715,:Content,,common,if条件分支语句,,,,
716,:Content,,common,switch开关语句,,,,
717,:Content,,common,循环语句,,,,
718,:Content,,common,break和continue语句,,,,
719,:Content,,common,for语句与数组,,,,
720,:Content,,common,运算符与表达式,,,,
721,:Content,,common,String类,,,,
722,:Content,,common,StringTokenizer类 ,,,,
723,:Content,,common,Scanner类,,,,
724,:Content,,common,Date与Calendar类,,,,
725,:Content,,common,Calendar类,,,,
726,:Content,,common,日期的格式化,,,,
727,:Content,,common,Math、BigInteger和Random类,,,,
728,:Content,,common,数字格式化,,,,
729,:Content,,common,StringBuffer类,,,,
730,:Content,,common,Pattern与Matcher类,,,,
731,:Content,,common,Class类,,,,
732,:Content,,common,内部类,,,,
733,:Content,,common,匿名类,,,,
734,:Content,,key,异常类,,,,
735,:Content,,common,断言,,,,
736,:Content,,common,Microsoft Access 数据库管理系统 ,,,,
737,:Content,,common,JDBC,,,,
738,:Content,,common,连接数据库 ,,,,
739,:Content,,common,查询操作,,,,
740,:Content,,common,更新、添加与删除操作,,,,
741,:Content,,common,使用预处理语句,,,,
742,:Content,,common,事务,,,,
743,:Content,,key,批处理,,,,
744,:Content,,common,CachedRowSetImpl类,,,,
4,:Knowledge,"写类的目的是为了描述一类事物共有的属性和功能。给类命名时，遵守下列编程风格(这不是语法要求,但应当遵守):
1.如果类名使用拉丁字母，那么名字的首字母使用大写字母。
2.类名最好容易识别、见名知意。当类名由几个“单词”复合而成时，每个单词的首字母使用大写。 
",common,类声明,,,,
7,:Knowledge,计算机处理信息的早期语言是所谓的机器语言，使用机器语言进行程序设计需要面向机器来编写代码，即需要针对不同的机器编写诸如0101 1100这样的指令序列。 ,common,面向机器语言,,,,
8,:Knowledge,"随着计算机硬件功能的提高,在20世纪60年代出现了面向过程设计语言，如C语言等。用这些语言编程也称为面向过程编程。语言把代码组成叫做过程或函数的块。每个块的目标是完成某个任务。使用这些语言编写代码指令时，不必再去考虑机器指令的细节，只要按着具体语言的语法要求去编写“源文件”。",common,面向过程语言,,,,
9,:Knowledge,基于对象的编程更加符合人的思维模式，使得编程人员更容易编写出易维护、易扩展和易复用的程序代码，更重要的是，面向对象编程鼓励创造性的程序设计。面向对象编程主要体现下列三个特性：封装性 ；继承；多态,common,面向对象语言,,,,
10,:Knowledge,"类声明之后的一对大括号“{”，“}”以及它们之间的内容称作类体，大括号之间的内容称作类体的内容。 
类体的内容由两部分构：一部分是变量的声明，用来刻画属性；另一部分是方法的定义，用来刻画行为功能。",key,类体,,,,
11,:Knowledge,"1.变量分为成员变量和局部变量
类体中变量定义部分所定义的变量被称为类的成员变量。
成员变量在整个类内都有效，其有效性与它在类体中书写的先后位置无关。
成员变量在定义时有默认值。
在方法体中定义的变量和方法的参数被称为局部变量。
局部变量只在定义它的方法内有效。
局部变量在定义时没有默认值。
2.成员变量又分为实例成员变量（简称实例变量）和类变量（也称静态变量）。
如果成员变量的类型前面加上关键字static，这样的成员变量称做是类变量或静态变量。 
其他的变量统称为实例变量。
3．区分成员变量和局部变量
如果局部变量的名字与成员变量的名字相同，则成员变量被隐藏，即该成员变量在这个方法内暂时失效。
4．局部变量没有默认值
成员变量有默认值（见后面的4.3节），但局部变量没有默认值，因此在使用局部变量之前，必须保证局部变量有具体的值 。例如:下列InitError类无法通过编译。
",key,成员变量与局部变量,,,,
12,:Knowledge,"方法的定义包括两部分:方法声明和方法体.一般格式为：
            方法声明部分 {
                 方法体的内容
            } ",key,方法,,,,
13,:Knowledge,"类体的内容由两部分构成：一部分是变量的声明，另一部分是方法的定义。
定义类需要注意的地方：
1)对成员变量的操作只能放在方法中，方法可以对成员变量和该方法体中声明的局部变量进行操作。在声明成员变量时可以同时赋予初值，但是不可以在类体中有单独的赋值语句，但局部变量必须赋初值。
2)实例方法既能对类(静态）变量操作也能对实例变量操作，而类（静态方法）方法只能对类（静态）变量进行操作
3)一个类中的方法可以互相调用，实例方法可以调用该类中的其他方法，类中的类（静态）方法只能调用该类的类（静态）方法。 ",key,需要注意的问题,,,,
14,:Knowledge,"UML(Unified Modeling Language Diagram)
是被用于描述一个系统的静态结构。一个UML中通常包含有类(Class)的UML图，接口(Interface)的UML图以及泛化关系(Generalization)的UML图、关联关系(Association)的UML图、依赖关系(Dependency)的UML图和实现关系(Realization)的UML图。 
在类的UML图中，使用一个长方形描述一个类的主要构成，将长方形垂直地分为三层。
第1层是名字层；
第2层是变量层，也称属性层；
第3层是方法层，也称操作层。",common,类的UML图,,,,
15,:Knowledge,"构造方法： 
构造方法是一种特殊方法，它的名字必须与它所在的类的名字完全相同，而且没有类型。
允许一个类中编写若干个构造方法，但必须保证他们的参数不同，即参数的个数不同，或者是参数的类型不同。
他的作用是在创建对象时使用，主要是用来初始化各个成员变量，以便给类所创建的对象一个合理的初始状态。 

需要注意的是如果类中没有编写构造方法，系统会默认该类只有一个构造方法，该默认的构造方法是无参数的，且方法体中没有语句。
如果类里定义了一个或多个构造方法，那么Java不提供默认的构造方法。 
需要特别注意的是，构造方法没有类型。
",common,构造方法,,,,
16,:Knowledge,"创建一个对象包括对象的声明和为对象分配变量两个步骤。
    1.对象的声明
     一般格式为：    类的名字   对象名字;
          如： XiyoujiRenwu zhubajie;
    2.为声明的对象分配变量
使用new运算符和类的构造方法为声明的对象分配变量，并返回一个引用值给对象名称。即创建对象。如果类中没有构造方法，系统会调用默认的构造方法，默认的构造方法是无参数的，且方法体中没有语句。
例如:  zhubajie = new XiyoujiRenwu(); 
当用类创建一个对象时，类中的成员变量被分配内存空间，这些内存空间称作该对象的实体或对象的变量，而对象中存放着引用值。
",key,创建对象,,,,
17,:Knowledge,"对象创建成功后，可以操作类中的变量和方法：
1．对象操作自己的变量（体现对象的属性）
通过使用运算符“.” 对象操作自己的变量（对象的属性）。 
2．对象调用类中的方法（体现对象的行为） 
对象创建之后，可以使用点运算符“.”调用创建它的类中的方法，从而产生一定的行为（功能）。
★强调：当对象调用变量时，是指调用分配给该对象自己的变量。在讲述类的时候讲过：类中的方法可以操作成员变量；当对象调用方法时，方法中出现的成员变量就是指分配给该对象的那个变量。",common,使用对象,,,,
18,:Knowledge,一个类创建的两个对象，如果具有相同的引用，那么就具有完全相同的实体。,key,对象的引用和实体,,,,
20,:Knowledge,"JFrame构造方法:
      JFrame() 创建一个无标题的窗口。
    JFrame(String s) 创建标题为s的窗口。
常用方法:
 1)public void setBounds(int a,int b,int width,int height 设置窗口的初始位置是(a,b)，即距屏幕左面a个像素、距屏幕上方b个像素；窗口的宽是width，高是height。
 2)public void setSize(int width,int height) 设置窗口的大小。
 3)public void setLocation(int x,int y) 设置窗口的位置，默认位置是(0,0)。
 4)public void setVisible(boolean b) 设置窗口是否可见，窗口默认是不可见的。
 5)public void setResizable(boolean b) 设置窗口是否可调整大小，默认可调整大小。
 6)public void dispose() 撤消当前窗口，并释放当前窗口所使用的资源。
7)public void setExtendedState(int state) 设置窗口的扩展状态.
8)public void setDefaultCloseOperation(int operation)  该方法用来设置单击窗体右上角的关闭图标后，程序会做出怎样的处理。如：EXIT_ON_CLOSE
9)public void setLayout(LayoutManager?mgr) 设置此容器的布局管理器。
10)public Component add(Component?comp) 将指定组件追加到此容器的尾部。
11)public void setMenuBar(MenuBar?mb) 将此 frame 的菜单栏设置为指定的菜单栏。
12)public void validate() 使用 validate 方法会使容器再次布置其子组件。在修改此容器的子组件的时候（在容器中添加或移除组件，或者更改与布局相关的信息），应该调用上述方法。",common,JFrame常用方法,,,,
23,:Knowledge,"在Java中，方法的所有参数都是“传值”的，也就是说，方法中参数变量的值是调用者指定的值的拷贝。
 1）对于基本数据类型的参数，向该参数“传值”，传递的是值的拷贝.
 例如，如果向方法的int型参数x传递一个int值，那么参数x得到的值是传递的值的拷贝。
 2）对于参数是引用类型时，“传值”传递的是变量的引用而不是变量所引用的实体。Java的引用型数据包括对象、数组和接口。",common,传值机制,,,,
24,:Knowledge,对于基本数据类型的参数，传递的是值的拷贝。同时向该参数传递的值的级别不可以高于该参数的级别 。,common,基本数据类型参数的传值,,,,
25,:Knowledge,当参数是引用类型时，“传值”传递的是变量中存放的“引用”，而不是变量所引用的实体。,common,引用类型参数的传值,,,,
27,:Knowledge,如果一个对象a组合了对象b，那么对象a就可以委托对象b调用其方法，即对象a以组合的方式复用对象b的方法。,common,组合与复用,,,,
28,:Knowledge,/,common,关联关系和依赖关系的UML图,,,,
33,:Knowledge,"通过关键字package声明包语句。
package语句作为Java源文件的第一条语句， 为该源文件中声明的类指定包名。
package语句的一般格式为：
                  package 包名;",common,包语句,,,,
34,:Knowledge,"程序如果使用了包语句，例如：
             package tom.jiafei;
那么存储文件的目录结构中必须包含有如下的结构    
          …\tom\jiafei
 如：c:\1000\tom\jiafei
并且要将源文件编译得到的类的字节码文件保存在目录c:\1000\tom\jiafei中（源文件可以任意存放）。",common,有包名的类的存储目录,,,,
35,:Knowledge,"如果主类的包名是tom.jiafei，那么主类的字节码一定存放在…\tom\jiefei目录中，运行时必须到tom\jiefei的上一层（即tom的父目录）目录中去运行主类。
假设tom\jiefei的上一层目录是1000，那么，必须如下格式来运行：
  C:\1000\java tom.jiafei.主类名 ",common,运行有包名的主类,,,,
37,:Knowledge,"用户程序也可以使用import语句引入非类库中有包名的类，如：
         import tom.jiafei.*;
在用户程序所在目录下建立和包相对应的子目录结构，比如用户程序所在目录是C:\ch4，想使用import语句引入tom.jiafei包中的类，那么根据包名建立如下的目录结构：
        C:\ch4\tom\jiafei",common,引入自定义包中的类,,,,
39,:Knowledge,"用关键字private修饰的成员变量和方法称为私有变量和私有方法。
对于私有成员变量或方法，只有在本类中创建该类的对象时，这个对象才能访问自己的私有成员变量和类中的私有方法。
某个类在另外一个类中创建对象后，如果不希该对象直接访问自己的变量，即通过“.”运算符来操作自己的成员变量，就应当将该成员变量访问权限设置为private。
面向对象编程提倡对象应当调用方法来改变自己的属性，类应当提供操作数据的方法，这些方法可以经过精心的设计，使得对数据的操作更加合理。",common,私有变量和私有方法,,,,
40,:Knowledge,"用public修饰的成员变量和方法被称为公有变量和公有方法 。 
我们在任何一个类中用类Tom 创建了一个对象后，该对象能访问自己的public变量和类中的public方法（也可以通过类名来操作成员变量、方法） 。",common,公有变量和公有方法,,,,
41,:Knowledge,"当在另外一个类中用类Tom 创建了一个对象后，如果这个类与Tom类在同一个包中，那么该对象能访问自己的友好变量和友好方法。
在任何一个与Tom同一包中的类中，也可以通过Tom类的类名访问Tom类的类友好成员变量和类友好方法。",common,友好变量和友好方法,,,,
42,:Knowledge,用protected修饰的成员变量和方法被称为受保护的成员变量和受保护的方法 。,common,受保护的成员变量和方法,,,,
43,:Knowledge,"类声明时，如果在关键字class前面加上public关键字，就称这样的类是一个public 类 。
可以在任何另外一个类中,使用public类创建对象。 
如果一个类不加public修饰，这样的类被称作友好类。
在另外一个类中使用友好类创建对象时，要保证它们是在同一包中。",common,public类与友好类,,,,
45,:Knowledge,"Double类和Float类实现了对double和float基本型数据的类包装。
Double类的构造方法：Double(double num)
Float类的构造方法：   Float(float num)
Double对象调用doubleValue()方法可以返回该对象中含有的double型数据。
Float对象调用floatValue()方法可以返回该对象中含有的float型数据。 ",common,Double和Float类,,,,
46,:Knowledge,"上述类的构造方法分别 ：
            Byte(byte num)
            Short(short num)
            Integer(int num)
            Long(long num)
Byte、Short、Integer和Long对象分别调用byteValue ()、shortValue()、intValue()和longValue ()方法返回该对象含有的基本型数据。",common,Byte、Short 、Integer、Long类,,,,
47,:Knowledge,"Character类实现了对char基本型数据的类包装。
      Character类的构造方法：Character(char c)
Character类中的一些常用类方法：
public static boolean isDigit(char ch)  ch是数字字符返回true.
public static boolean isLetter(char ch) ch是字母返回 true。",common,Character类,,,,
52,:Knowledge,"1．菜单条
  JComponent类的子类JMenubar负责创建菜单条，JFrame类有一个将菜单条放置到窗口中的方法:setJMenuBar(JMenuBar bar);该方法将菜单条添加到窗口的顶端。
菜单条JMenuBar类构造方法：JMenuBar(); JMenuBar  Mbar=new JMenuBar()
2．菜单
  JComponent类的子类JMenu负责创建菜单。
菜单JMenu类构造方法：JMenu() ; JMenu(String?s) ; JMenu m=new JMenu();
常用方法：
    public void add(JMenuItem item) 向菜单增加由参数item指定的菜单项
  public JMenuItem getItem(int n) 得到指定索引处的菜单选项。
  public int getItemCount() 得到菜单选项的数目。
3.菜单项 
  JComponent类的子类JMenuItem负责创建菜单项,JMenuItem类的主要方法有以下几种：
  JMenuItem(String s) 构造有标题的菜单项。
  JMenuItem(String text, Icon icon) 构造有标题和图标的菜单项
  public void setAccelerator(KeyStroke keyStroke)为菜单项设置快捷键",common,菜单条、菜单、菜单项,,,,
54,:Knowledge,"1．文本框：由JComponent的子类JTextField创建文本框。
构造函数：JTextField( ) ; JTextField(int?columns) ;
常用方法：public String getText();
                    public void setText(String?t);
2．文本区：由JComponent的子类JTexArea创建文本区。
构造函数：JTextArea() ;JTextArea(int?rows, int?columns) 
常用方法：public String getText();
                    public void setText(String?t);
3．按钮：由JComponent的子类JButton类用来创建按钮。
构造函数：JButton() ; JButton(String?text) ;
常用方法：public void addActionListener(ActionListener?l);
4.标签：由JComponent的子类JLabel类用来创建标签。
构造函数：JLabel() ; JLabel(String?text) ; JLabel(Icon?image) ;
常用方法：public String getText(); 
                    public void setText(String?t);
5.选择框：由JComponent的子类JCheckBox类用来创建选择框
构造函数： JCheckBox() ;JCheckBox(String?text) ;
常用方法： public void addItemListener(ItemListener?l) 
                     public void addActionListener(ActionListener?l) 
ItemListener接口中：Object getItemSelectable()相当于getSource();
                                public int getStateChange();
                                若被选中SELECTED/DESEELCTED
6.单选按钮：由JComponent的子类JRadioButton类用来创建单项选择框。
构造函数： JRadioButton() ; JRadioButton(String?text) ;
常用方法： public void addItemListener(ItemListener?l)
7.下拉列表：由JComponent的子类JComboBox类用来创建下拉列表。
构造函数：JComboBox() ; JComboBox(Object[]?items) 
常用方法： public void addItemListener(ItemListener?l) 
                    public Object getSelectedItem();
                    public int getSelectedIndex()
8.密码框：由JComponent的子类JPasswordField创建密码框.
构造函数：JPasswordField() ; JPasswordField(int?columns) 
常用方法：public String getText();
                    public void setText(String?t);
public void setEchoChar(char?c)使用该方法重新设置回显字符.                       
public char[] getPassword()方法可以返回实际的密码",key,常用组件,,,,
