_start,_end,_type,name
247,276,Knowledge_Of,知识点2.1.3
248,276,Knowledge_Of,知识点2.1.1
261,281,Knowledge_Of,知识点2.3.2
262,281,Knowledge_Of,知识点2.3.1
264,282,Knowledge_Of,知识点2.4.1
265,282,Knowledge_Of,知识点2.4.2
266,282,Knowledge_Of,知识点2.4.3
270,267,Knowledge_Of,知识点2.5.2
271,267,Knowledge_Of,知识点2.5.3
272,267,Knowledge_Of,知识点2.5.4
273,267,Knowledge_Of,知识点2.5.5
274,267,Knowledge_Of,知识点2.5.5
277,249,Knowledge_Of,知识点2.2.1
278,249,Knowledge_Of,知识点2.2.2
279,249,Knowledge_Of,知识点2.2.3
280,249,Knowledge_Of,知识点2.2.4
283,267,Knowledge_Of,知识点2.5.1
295,275,Knowledge_Of,知识点2.6.1
300,284,Knowledge_Of,知识点5.1.1
301,284,Knowledge_Of,知识点5.1.2
302,284,Knowledge_Of,知识点5.1.3
303,284,Knowledge_Of,知识点5.1.4
304,284,Knowledge_Of,知识点5.1.5
305,284,Knowledge_Of,知识点5.1.6
306,285,Knowledge_Of,知识点5.2.1
307,285,Knowledge_Of,知识点5.2.2
308,285,Knowledge_Of,知识点5.2.3
309,286,Knowledge_Of,知识点5.3.1
310,286,Knowledge_Of,知识点5.3.2
311,287,Knowledge_Of,知识点5.4.1
312,287,Knowledge_Of,知识点5.4.2
313,288,Knowledge_Of,知识点5.5.1
314,288,Knowledge_Of,知识点5.5.2
315,289,Knowledge_Of,知识点5.5.2
316,290,Knowledge_Of,知识点5.7.1
299,290,Knowledge_Of,知识点5.7.2
317,291,Knowledge_Of,知识点5.8.1
318,292,Knowledge_Of,知识点5.9.1
319,292,Knowledge_Of,知识点5.9.2
320,293,Knowledge_Of,知识点5.10.1
321,294,Knowledge_Of,知识点5.11.1
322,206,Content_Of,知识点6.1
323,206,Content_Of,知识点6.2
324,206,Content_Of,知识点6.3
325,206,Content_Of,知识点6.4
326,206,Content_Of,知识点6.5
327,206,Content_Of,知识点6.6
328,206,Content_Of,知识点6.7
335,327,Knowledge_Of,知识点6.6.1
336,328,Knowledge_Of,知识点6.7.1
337,206,Content_Of,知识点6.8
338,206,Content_Of,知识点6.9
329,322,Knowledge_Of,知识点6.1.1
330,322,Knowledge_Of,知识点6.1.2
331,323,Knowledge_Of,知识点6.2.1
332,324,Knowledge_Of,知识点6.3.1
333,325,Knowledge_Of,知识点6.4.1
339,326,Knowledge_Of,知识点6.5.1
340,337,Knowledge_Of,知识点6.8.1
341,338,Knowledge_Of,知识点6.9.1
715,710,Content_Of,知识点3.3
736,713,Content_Of,知识点11.1
729,711,Content_Of,知识点8.8
738,713,Content_Of,知识点11.3
727,711,Content_Of,知识点8.6
732,712,Content_Of,知识点7.1
741,713,Content_Of,知识点11.6
722,711,Content_Of,知识点8.2
737,713,Content_Of,知识点11.2
739,713,Content_Of,知识点11.4
720,710,Content_Of,知识点3.1
726,711,Content_Of,知识点8.5
731,711,Content_Of,知识点8.10
717,710,Content_Of,知识点3.5
734,712,Content_Of,知识点7.3
743,713,Content_Of,知识点11.8
719,710,Content_Of,知识点3.7
744,713,Content_Of,知识点11.9
742,713,Content_Of,知识点11.7
723,711,Content_Of,知识点8.3
714,710,Content_Of,知识点3.2
740,713,Content_Of,知识点11.5
721,711,Content_Of,知识点8.1
735,712,Content_Of,知识点7.4
725,711,Content_Of,知识点8.4
730,711,Content_Of,知识点8.9
716,710,Content_Of,知识点3.4
724,711,Content_Of,知识点8.4
733,712,Content_Of,知识点7.2
718,710,Content_Of,知识点3.6
728,711,Content_Of,知识点8.7
756,740,Knowledge_Of,知识点11.5.1
762,717,Knowledge_Of,知识点3.5.2
770,720,Knowledge_Of,知识点3.1.7
791,720,Knowledge_Of,知识点3.1.5
748,723,Knowledge_Of,知识点8.3.1
775,727,Knowledge_Of,知识点8.6.1
763,729,Knowledge_Of,知识点8.8.2
799,717,Knowledge_Of,知识点3.5.3
765,742,Knowledge_Of,知识点11.7.2
810,721,Knowledge_Of,知识点8.1.1
750,734,Knowledge_Of,知识点7.3.2
764,720,Knowledge_Of,知识点3.1.6
807,735,Knowledge_Of,知识点7.4.2
781,732,Knowledge_Of,知识点7.1.2
814,740,Knowledge_Of,知识点11.5.2
752,716,Knowledge_Of,知识点3.4.1
816,728,Knowledge_Of,知识点8.7.2
758,731,Knowledge_Of,知识点8.10.3
811,735,Knowledge_Of,知识点7.4.1
817,715,Knowledge_Of,知识点3.3.3
796,726,Knowledge_Of,知识点8.5.1
801,717,Knowledge_Of,知识点3.5.1
761,738,Knowledge_Of,知识点11.3.1
771,726,Knowledge_Of,知识点8.5.2
766,733,Knowledge_Of,知识点7.2.1
802,729,Knowledge_Of,知识点8.8.1
786,743,Knowledge_Of,知识点11.8.1
774,737,Knowledge_Of,知识点11.2.1
803,722,Knowledge_Of,知识点8.2.1
759,721,Knowledge_Of,知识点8.1.2
812,738,Knowledge_Of,知识点11.3.2
792,739,Knowledge_Of,知识点11.4.5
782,742,Knowledge_Of,知识点11.7.1
772,720,Knowledge_Of,知识点3.1.1    
776,734,Knowledge_Of,知识点7.3.1
815,721,Knowledge_Of,知识点8.1.3
751,739,Knowledge_Of,知识点11.4.2
777,721,Knowledge_Of,知识点8.1.6
804,738,Knowledge_Of,知识点11.3.3
789,739,Knowledge_Of,知识点11.4.3
805,725,Knowledge_Of,知识点8.4.2
797,736,Knowledge_Of,知识点11.1.2
798,730,Knowledge_Of,知识点8.9.1
760,714,Knowledge_Of,知识点3.2.1
767,718,Knowledge_Of,知识点3.6.1
806,720,Knowledge_Of,知识点3.1.4
753,739,Knowledge_Of,知识点11.4.4
745,724,Knowledge_Of,知识点8.4.1
813,734,Knowledge_Of,知识点7.3.3
818,728,Knowledge_Of,知识点8.7.3
785,722,Knowledge_Of,知识点8.2.2
746,731,Knowledge_Of,知识点8.10.1
768,730,Knowledge_Of,知识点8.9.2
787,733,Knowledge_Of,知识点7.2.2
808,731,Knowledge_Of,知识点8.10.2
790,720,Knowledge_Of,知识点3.1.2
773,719,Knowledge_Of,知识点3.7.1
778,744,Knowledge_Of,知识点11.9.1
779,727,Knowledge_Of,知识点8.6.3
800,720,Knowledge_Of,知识点3.1.8
755,721,Knowledge_Of,知识点8.1.5
780,732,Knowledge_Of,知识点7.1.1
754,738,Knowledge_Of,知识点11.3.4
769,720,Knowledge_Of,知识点3.1.9
809,727,Knowledge_Of,知识点8.6.2
783,720,Knowledge_Of,知识点3.1.3
793,728,Knowledge_Of,知识点8.7.1
747,739,Knowledge_Of,知识点11.4.1
794,715,Knowledge_Of,知识点3.3.2
795,736,Knowledge_Of,知识点11.1.1
784,741,Knowledge_Of,知识点11.6.1
788,723,Knowledge_Of,知识点8.3.2
749,715,Knowledge_Of,知识点3.3.1
819,741,Knowledge_Of,知识点11.6.2
757,721,Knowledge_Of,知识点8.1.4
710,820,Chapter_Of,第三章
711,820,Chapter_Of,第八章
712,820,Chapter_Of,第七章
713,820,Chapter_Of,第十一章
